package_name,on_cran,install,github_username,description
colorspace,TRUE,TRUE,,Explicit control over the HCL color scheme
devtools,TRUE,TRUE,,Used in the C1 survival for sourcing gists
evaluate,TRUE,TRUE,,A package that Hadley et al use a lot in their packages.  It helps when things are passed by reference.
ggplot2,TRUE,TRUE,,Graphing
ggthemes,TRUE,TRUE,,"Extra themes, scales and geoms for ggplot"
googleVis,TRUE,TRUE,,"JavaScript-based visualizations, like scrollable tables"
ggmap,TRUE,TRUE,,"Maps & graphics, based on ggplot"
knitr,TRUE,TRUE,,For reporting
lme4,TRUE,FALSE,,Multilevel models
lubridate,TRUE,TRUE,,Consistent/convenient function signatures for manipulating dates
roxygen2,FALSE,FALSE,klutometis,Creates documentation Rd file from (well-formed) comments
rmarkdown,FALSE,TRUE,rstudio,"Needed for knitr and reports."
stringr,TRUE,TRUE,,Consistent/convenient function signatures for manipulating text
testit,TRUE,TRUE,,has the useful `assert()` function
testthat,FALSE,TRUE,hadley,Heavier testing framework that's good for package development
xtable,TRUE,TRUE,,"Formats tables, especially for LaTeX output."
yaml,TRUE,TRUE,,"Needed for knitr and reports."
